Month of Year ID,Month of Year,Supersector ID,Supersector,NSA Employees,Date,NSA Employees Growth
"2009-09","September, 2009","70","Leisure and Hospitality",13334600,"2009-09-01",-2.8904344026508393
"2009-10","October, 2009","70","Leisure and Hospitality",13004700,"2009-10-01",-3.0245408380125722
"2009-11","November, 2009","70","Leisure and Hospitality",12794100,"2009-11-01",-2.860114799404744
"2009-12","December, 2009","70","Leisure and Hospitality",12770700,"2009-12-01",-2.6890487366271447
"2010-01","January, 2010","70","Leisure and Hospitality",12341200,"2010-01-01",-2.196791986305712
"2010-02","February, 2010","70","Leisure and Hospitality",12420200,"2010-02-01",-1.983964140282206
"2010-03","March, 2010","70","Leisure and Hospitality",12671900,"2010-03-01",-1.4013383131030188
"2010-04","April, 2010","70","Leisure and Hospitality",13081000,"2010-04-01",-0.19532144110600766
"2010-05","May, 2010","70","Leisure and Hospitality",13379400,"2010-05-01",-0.6917744162225554
"2010-06","June, 2010","70","Leisure and Hospitality",13663900,"2010-06-01",-0.15710172884972307
"2010-07","July, 2010","70","Leisure and Hospitality",13700200,"2010-07-01",0.23118680771988354
"2010-08","August, 2010","70","Leisure and Hospitality",13725200,"2010-08-01",0.5973452948980116
"2010-09","September, 2010","70","Leisure and Hospitality",13445500,"2010-09-01",0.8316709912558307
"2010-10","October, 2010","70","Leisure and Hospitality",13204100,"2010-10-01",1.5332918098841188
"2010-11","November, 2010","70","Leisure and Hospitality",13028000,"2010-11-01",1.8281864296824317
"2010-12","December, 2010","70","Leisure and Hospitality",13012800,"2010-12-01",1.8957457304611336
"2011-01","January, 2011","70","Leisure and Hospitality",12586700,"2011-01-01",1.989271707775581
"2011-02","February, 2011","70","Leisure and Hospitality",12686200,"2011-02-01",2.141672436836766
"2011-03","March, 2011","70","Leisure and Hospitality",12974900,"2011-03-01",2.3911173541457873
"2011-04","April, 2011","70","Leisure and Hospitality",13349600,"2011-04-01",2.0533598348750095
"2011-05","May, 2011","70","Leisure and Hospitality",13660500,"2011-05-01",2.1009910758329973
"2011-06","June, 2011","70","Leisure and Hospitality",13952000,"2011-06-01",2.108475618234911
"2011-07","July, 2011","70","Leisure and Hospitality",13989700,"2011-07-01",2.1131078378417834
"2011-08","August, 2011","70","Leisure and Hospitality",14029900,"2011-08-01",2.2200040800862646
"2011-09","September, 2011","70","Leisure and Hospitality",13745600,"2011-09-01",2.2319735227399504
"2011-10","October, 2011","70","Leisure and Hospitality",13467600,"2011-10-01",1.9955922781560271
"2011-11","November, 2011","70","Leisure and Hospitality",13322900,"2011-11-01",2.263586122198342
"2011-12","December, 2011","70","Leisure and Hospitality",13293100,"2011-12-01",2.154032952170171
"2012-01","January, 2012","70","Leisure and Hospitality",12958500,"2012-01-01",2.953911668666132
"2012-02","February, 2012","70","Leisure and Hospitality",13111900,"2012-02-01",3.355614762497832
"2012-03","March, 2012","70","Leisure and Hospitality",13427300,"2012-03-01",3.486732075006358
"2012-04","April, 2012","70","Leisure and Hospitality",13749900,"2012-04-01",2.9985917181039135
"2012-05","May, 2012","70","Leisure and Hospitality",14108000,"2012-05-01",3.275868379634713
"2012-06","June, 2012","70","Leisure and Hospitality",14455100,"2012-06-01",3.605934633027523
"2012-07","July, 2012","70","Leisure and Hospitality",14442700,"2012-07-01",3.2380965996411644
"2012-08","August, 2012","70","Leisure and Hospitality",14500000,"2012-08-01",3.3507010028581816
"2012-09","September, 2012","70","Leisure and Hospitality",14160000,"2012-09-01",3.014782912350134
"2012-10","October, 2012","70","Leisure and Hospitality",13927900,"2012-10-01",3.4178324274555227
"2012-11","November, 2012","70","Leisure and Hospitality",13751000,"2012-11-01",3.213264379376862
"2012-12","December, 2012","70","Leisure and Hospitality",13778400,"2012-12-01",3.6507661869691796
"2013-01","January, 2013","70","Leisure and Hospitality",13412200,"2013-01-01",3.501176833738473
"2013-02","February, 2013","70","Leisure and Hospitality",13551500,"2013-02-01",3.3526796269038046
"2013-03","March, 2013","70","Leisure and Hospitality",13837300,"2013-03-01",3.053480595503191
"2013-04","April, 2013","70","Leisure and Hospitality",14179600,"2013-04-01",3.1251136371900885
"2013-05","May, 2013","70","Leisure and Hospitality",14578200,"2013-05-01",3.332860788205273
"2013-06","June, 2013","70","Leisure and Hospitality",14915200,"2013-06-01",3.182959647460066
"2013-07","July, 2013","70","Leisure and Hospitality",14945000,"2013-07-01",3.4778815595421912
"2013-08","August, 2013","70","Leisure and Hospitality",14960200,"2013-08-01",3.173793103448276
"2013-09","September, 2013","70","Leisure and Hospitality",14624800,"2013-09-01",3.2824858757062145
"2013-10","October, 2013","70","Leisure and Hospitality",14404300,"2013-10-01",3.4204725766267705
"2013-11","November, 2013","70","Leisure and Hospitality",14246200,"2013-11-01",3.6011926405352335
"2013-12","December, 2013","70","Leisure and Hospitality",14241400,"2013-12-01",3.3603321140335596
"2014-01","January, 2014","70","Leisure and Hospitality",13864500,"2014-01-01",3.3723028287678383
"2014-02","February, 2014","70","Leisure and Hospitality",13976700,"2014-02-01",3.13766003763421
"2014-03","March, 2014","70","Leisure and Hospitality",14277300,"2014-03-01",3.1798110903138617
"2014-04","April, 2014","70","Leisure and Hospitality",14643500,"2014-04-01",3.271601455612288
"2014-05","May, 2014","70","Leisure and Hospitality",15062000,"2014-05-01",3.318653880451633
"2014-06","June, 2014","70","Leisure and Hospitality",15366100,"2014-06-01",3.023090538511049
"2014-07","July, 2014","70","Leisure and Hospitality",15362500,"2014-07-01",2.7935764469722315
"2014-08","August, 2014","70","Leisure and Hospitality",15393700,"2014-08-01",2.8976885335757543
"2014-09","September, 2014","70","Leisure and Hospitality",15034600,"2014-09-01",2.8020896012253163
"2014-10","October, 2014","70","Leisure and Hospitality",14841100,"2014-10-01",3.0324278166936263
"2014-11","November, 2014","70","Leisure and Hospitality",14648900,"2014-11-01",2.8267187039350845
"2014-12","December, 2014","70","Leisure and Hospitality",14661800,"2014-12-01",2.951956970522561
"2015-01","January, 2015","70","Leisure and Hospitality",14301700,"2015-01-01",3.1533773305925203
"2015-02","February, 2015","70","Leisure and Hospitality",14448200,"2015-02-01",3.373471563387638
"2015-03","March, 2015","70","Leisure and Hospitality",14698200,"2015-03-01",2.948036393435734
"2015-04","April, 2015","70","Leisure and Hospitality",15076500,"2015-04-01",2.9569433537064227
"2015-05","May, 2015","70","Leisure and Hospitality",15510100,"2015-05-01",2.975036515734962
"2015-06","June, 2015","70","Leisure and Hospitality",15818400,"2015-06-01",2.943492493215585
"2015-07","July, 2015","70","Leisure and Hospitality",15875700,"2015-07-01",3.34060211554109
"2015-08","August, 2015","70","Leisure and Hospitality",15878700,"2015-08-01",3.1506395473472915
"2015-09","September, 2015","70","Leisure and Hospitality",15554900,"2015-09-01",3.460684022188818
"2015-10","October, 2015","70","Leisure and Hospitality",15372800,"2015-10-01",3.582618539057078
"2015-11","November, 2015","70","Leisure and Hospitality",15195400,"2015-11-01",3.7306555441022877
"2015-12","December, 2015","70","Leisure and Hospitality",15212200,"2015-12-01",3.7539729091925955
"2016-01","January, 2016","70","Leisure and Hospitality",14816400,"2016-01-01",3.598872861268241
"2016-02","February, 2016","70","Leisure and Hospitality",14978900,"2016-02-01",3.6731219113799645
"2016-03","March, 2016","70","Leisure and Hospitality",15242900,"2016-03-01",3.70589596004953
"2016-04","April, 2016","70","Leisure and Hospitality",15634600,"2016-04-01",3.701787550160846
"2016-05","May, 2016","70","Leisure and Hospitality",15969200,"2016-05-01",2.960006705308154
"2016-06","June, 2016","70","Leisure and Hospitality",16290500,"2016-06-01",2.984499064380721
"2016-07","July, 2016","70","Leisure and Hospitality",16349700,"2016-07-01",2.985695118955385
"2016-08","August, 2016","70","Leisure and Hospitality",16343700,"2016-08-01",2.9284513215817416
"2016-09","September, 2016","70","Leisure and Hospitality",15997400,"2016-09-01",2.844762743572765
"2016-10","October, 2016","70","Leisure and Hospitality",15756000,"2016-10-01",2.492714404662781
"2016-11","November, 2016","70","Leisure and Hospitality",15593700,"2016-11-01",2.6211879911025706
"2016-12","December, 2016","70","Leisure and Hospitality",15543300,"2016-12-01",2.176542511931213
"2017-01","January, 2017","70","Leisure and Hospitality",15172200,"2017-01-01",2.401393050943549
"2017-02","February, 2017","70","Leisure and Hospitality",15347800,"2017-02-01",2.462797668720667
"2017-03","March, 2017","70","Leisure and Hospitality",15627500,"2017-03-01",2.5231419218127784
"2017-04","April, 2017","70","Leisure and Hospitality",15946600,"2017-04-01",1.9955739193839306
"2017-05","May, 2017","70","Leisure and Hospitality",16318900,"2017-05-01",2.189840442852491
"2017-06","June, 2017","70","Leisure and Hospitality",16702800,"2017-06-01",2.530922930542341
"2017-07","July, 2017","70","Leisure and Hospitality",16691500,"2017-07-01",2.0905582365425666
"2017-08","August, 2017","70","Leisure and Hospitality",16695300,"2017-08-01",2.151287652122836
"2017-09","September, 2017","70","Leisure and Hospitality",16215300,"2017-09-01",1.3620963406553566
"2017-10","October, 2017","70","Leisure and Hospitality",16077800,"2017-10-01",2.0423965473470425
"2017-11","November, 2017","70","Leisure and Hospitality",15885900,"2017-11-01",1.8738336635949135
"2017-12","December, 2017","70","Leisure and Hospitality",15861100,"2017-12-01",2.044610861271416
"2018-01","January, 2018","70","Leisure and Hospitality",15470800,"2018-01-01",1.9680731864858094
"2018-02","February, 2018","70","Leisure and Hospitality",15637900,"2018-02-01",1.8901731844303418
"2018-03","March, 2018","70","Leisure and Hospitality",15905200,"2018-03-01",1.7769956806910896
"2018-04","April, 2018","70","Leisure and Hospitality",16179800,"2018-04-01",1.4623806955714698
"2018-05","May, 2018","70","Leisure and Hospitality",16571400,"2018-05-01",1.5472856626365747
"2018-06","June, 2018","70","Leisure and Hospitality",16941500,"2018-06-01",1.429101707498144
"2018-07","July, 2018","70","Leisure and Hospitality",16964400,"2018-07-01",1.6349639037833628
"2018-08","August, 2018","70","Leisure and Hospitality",16973100,"2018-08-01",1.6639413487628256
"2018-09","September, 2018","70","Leisure and Hospitality",16489900,"2018-09-01",1.6934623472892885
"2018-10","October, 2018","70","Leisure and Hospitality",16344000,"2018-10-01",1.655699162820784
"2018-11","November, 2018","70","Leisure and Hospitality",16124700,"2018-11-01",1.5032198364587464
"2018-12","December, 2018","70","Leisure and Hospitality",16143100,"2018-12-01",1.7779346955759687
"2019-01","January, 2019","70","Leisure and Hospitality",15772100,"2019-01-01",1.94753988158337
"2019-02","February, 2019","70","Leisure and Hospitality",15921100,"2019-02-01",1.8109848509070912
"2019-03","March, 2019","70","Leisure and Hospitality",16175400,"2019-03-01",1.6988154817292458
"2019-04","April, 2019","70","Leisure and Hospitality",16484300,"2019-04-01",1.8819762914251101
"2019-05","May, 2019","70","Leisure and Hospitality",16839900,"2019-05-01",1.6202614142438176
"2019-06","June, 2019","70","Leisure and Hospitality",17185200,"2019-06-01",1.4384794734822772
"2019-07","July, 2019","70","Leisure and Hospitality",17225100,"2019-07-01",1.5367475419112966
"2019-08","August, 2019","70","Leisure and Hospitality",17193200,"2019-08-01",1.296757810888995
"2019-09","September, 2019","70","Leisure and Hospitality",16725400,"2019-09-01",1.4281469263003415
"2019-10","October, 2019","70","Leisure and Hospitality",16588400,"2019-10-01",1.495349975526187
"2019-11","November, 2019","70","Leisure and Hospitality",16398600,"2019-11-01",1.6986362536977433
"2019-12","December, 2019","70","Leisure and Hospitality",16411500,"2019-12-01",1.6626298542411309
"2020-01","January, 2020","70","Leisure and Hospitality",16025900,"2020-01-01",1.6091706240766925
"2020-02","February, 2020","70","Leisure and Hospitality",16177400,"2020-02-01",1.6098133922907338
"2020-03","March, 2020","70","Leisure and Hospitality",15834200,"2020-03-01",-2.1093759659730207
"2020-04","April, 2020","70","Leisure and Hospitality",8732700,"2020-04-01",-47.0241381193014
"2020-05","May, 2020","70","Leisure and Hospitality",10018000,"2020-05-01",-40.510335572063966
"2020-06","June, 2020","70","Leisure and Hospitality",11841800,"2020-06-01",-31.093033540488328
"2020-07","July, 2020","70","Leisure and Hospitality",12525300,"2020-07-01",-27.284602121322955
"2020-08","August, 2020","70","Leisure and Hospitality",12720300,"2020-08-01",-26.01551776283647
"2020-09","September, 2020","70","Leisure and Hospitality",12732700,"2020-09-01",-23.872074808375285
"2020-10","October, 2020","70","Leisure and Hospitality",12853400,"2020-10-01",-22.515733886330207
"2020-11","November, 2020","70","Leisure and Hospitality",12709100,"2020-11-01",-22.498871854914444
"2020-12","December, 2020","70","Leisure and Hospitality",12234200,"2020-12-01",-25.453492977485297
"2021-01","January, 2021","70","Leisure and Hospitality",11949000,"2021-01-01",-25.43944489857044
"2021-02","February, 2021","70","Leisure and Hospitality",12380400,"2021-02-01",-23.471015119858567
"2021-03","March, 2021","70","Leisure and Hospitality",12798200,"2021-03-01",-19.17368733500903
"2021-04","April, 2021","70","Leisure and Hospitality",13285600,"2021-04-01",52.1362236192701
"2021-05","May, 2021","70","Leisure and Hospitality",13867900,"2021-05-01",38.42982631263725
